run_count,sample_index,camera_id,exposure_time,unix_timestamp,datetime,filename
0,0,0,854710.0,1741394508.234964,2025-03-07 19:41:48.234964,captured_images\2025-03-07_19-41-10\1x1\Sample_0\sample_0_20250307_194148_0000_0.tif
0,0,1,971886.0,1741394508.234964,2025-03-07 19:41:48.234964,captured_images\2025-03-07_19-41-10\1x1\Sample_0\sample_0_20250307_194148_0000_1.tif
1,0,0,854617.0,1741394568.60396,2025-03-07 19:42:48.603960,captured_images\2025-03-07_19-41-10\1x1\Sample_0\sample_0_20250307_194248_0001_0.tif
1,0,1,972220.0,1741394568.60396,2025-03-07 19:42:48.603960,captured_images\2025-03-07_19-41-10\1x1\Sample_0\sample_0_20250307_194248_0001_1.tif
2,0,0,854529.0,1741394628.936406,2025-03-07 19:43:48.936406,captured_images\2025-03-07_19-41-10\1x1\Sample_0\sample_0_20250307_194348_0002_0.tif
2,0,1,972625.0,1741394628.936406,2025-03-07 19:43:48.936406,captured_images\2025-03-07_19-41-10\1x1\Sample_0\sample_0_20250307_194348_0002_1.tif
3,0,0,854439.0,1741394689.43872,2025-03-07 19:44:49.438720,captured_images\2025-03-07_19-41-10\1x1\Sample_0\sample_0_20250307_194449_0003_0.tif
3,0,1,972061.0,1741394689.43872,2025-03-07 19:44:49.438720,captured_images\2025-03-07_19-41-10\1x1\Sample_0\sample_0_20250307_194449_0003_1.tif
4,0,0,854348.0,1741394749.819822,2025-03-07 19:45:49.819822,captured_images\2025-03-07_19-41-10\1x1\Sample_0\sample_0_20250307_194549_0004_0.tif
4,0,1,971507.0,1741394749.819822,2025-03-07 19:45:49.819822,captured_images\2025-03-07_19-41-10\1x1\Sample_0\sample_0_20250307_194549_0004_1.tif
