,run,sample,event,unix_time,configuration
0,0,,run_start,1741372880.305,1x1
1,0,0.0,capture_start,1741372908.234,1x1
2,0,0.0,capture_end,1741372908.274,1x1
3,0,,run_end,1741372918.828,1x1
4,0,,reinit_start,1741372918.877,1x1
5,0,,reinit_end,1741372919.574,1x1
6,1,,run_start,1741372940.676,1x1
7,1,0.0,capture_start,1741372968.603,1x1
8,1,0.0,capture_end,1741372968.656,1x1
9,1,,run_end,1741372979.218,1x1
10,1,,reinit_start,1741372979.279,1x1
11,1,,reinit_end,1741372979.943,1x1
12,2,,run_start,1741373001.017,1x1
13,2,0.0,capture_start,1741373028.936,1x1
14,2,0.0,capture_end,1741373029.06,1x1
15,2,,run_end,1741373039.606,1x1
16,2,,reinit_start,1741373039.638,1x1
17,2,,reinit_end,1741373040.407,1x1
18,3,,run_start,1741373061.529,1x1
19,3,0.0,capture_start,1741373089.438,1x1
20,3,0.0,capture_end,1741373089.484,1x1
21,3,,run_end,1741373100.035,1x1
22,3,,reinit_start,1741373100.065,1x1
23,3,,reinit_end,1741373100.784,1x1
24,4,,run_start,1741373121.895,1x1
25,4,0.0,capture_start,1741373149.818,1x1
26,4,0.0,capture_end,1741373149.873,1x1
27,4,,run_end,1741373160.417,1x1
28,0,,run_start,1741372131.778,1x2
29,0,0.0,capture_start,1741372160.757,1x2
30,0,0.0,capture_end,1741372160.816,1x2
31,0,1.0,capture_start,1741372179.38,1x2
32,0,1.0,capture_end,1741372179.409,1x2
33,0,,run_end,1741372190.485,1x2
34,0,,reinit_start,1741372222.684,1x2
35,0,,reinit_end,1741372223.333,1x2
36,1,,run_start,1741372252.453,1x2
37,1,0.0,capture_start,1741372281.426,1x2
38,1,0.0,capture_end,1741372281.502,1x2
39,1,1.0,capture_start,1741372300.07,1x2
40,1,1.0,capture_end,1741372300.112,1x2
41,1,,run_end,1741372311.185,1x2
42,1,,reinit_start,1741372343.438,1x2
43,1,,reinit_end,1741372344.071,1x2
44,2,,run_start,1741372373.227,1x2
45,2,0.0,capture_start,1741372402.211,1x2
46,2,0.0,capture_end,1741372402.284,1x2
47,2,1.0,capture_start,1741372420.848,1x2
48,2,1.0,capture_end,1741372420.889,1x2
49,2,,run_end,1741372431.961,1x2
50,2,,reinit_start,1741372464.179,1x2
51,2,,reinit_end,1741372464.935,1x2
52,3,,run_start,1741372494.117,1x2
53,3,0.0,capture_start,1741372523.092,1x2
54,3,0.0,capture_end,1741372523.177,1x2
55,3,1.0,capture_start,1741372541.756,1x2
56,3,1.0,capture_end,1741372541.787,1x2
57,3,,run_end,1741372552.841,1x2
58,3,,reinit_start,1741372585.062,1x2
59,3,,reinit_end,1741372585.782,1x2
60,4,,run_start,1741372614.896,1x2
61,4,0.0,capture_start,1741372643.876,1x2
62,4,0.0,capture_end,1741372643.952,1x2
63,4,1.0,capture_start,1741372662.52,1x2
64,4,1.0,capture_end,1741372662.561,1x2
65,4,,run_end,1741372673.631,1x2
66,0,,run_start,1741371170.842,2x2
67,0,0.0,capture_start,1741371199.872,2x2
68,0,0.0,capture_end,1741371199.972,2x2
69,0,1.0,capture_start,1741371218.536,2x2
70,0,1.0,capture_end,1741371218.57,2x2
71,0,2.0,capture_start,1741371237.137,2x2
72,0,2.0,capture_end,1741371237.199,2x2
73,0,3.0,capture_start,1741371255.771,2x2
74,0,3.0,capture_end,1741371255.812,2x2
75,0,,run_end,1741371267.097,2x2
76,0,,reinit_start,1741371321.464,2x2
77,0,,reinit_end,1741371322.183,2x2
78,1,,run_start,1741371351.354,2x2
79,1,0.0,capture_start,1741371380.391,2x2
80,1,0.0,capture_end,1741371380.458,2x2
81,1,1.0,capture_start,1741371399.015,2x2
82,1,1.0,capture_end,1741371399.046,2x2
83,1,2.0,capture_start,1741371417.613,2x2
84,1,2.0,capture_end,1741371417.653,2x2
85,1,3.0,capture_start,1741371436.22,2x2
86,1,3.0,capture_end,1741371436.25,2x2
87,1,,run_end,1741371447.534,2x2
88,1,,reinit_start,1741371501.793,2x2
89,1,,reinit_end,1741371502.503,2x2
90,2,,run_start,1741371531.689,2x2
